date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:33:51	77/77	---MCZ	200	added ('OK')	text/plain	etag:W/%22de2770fe1acc1bb056e80554de5d1a35%22	https://booqi.me/robots.txt		(from )
09:33:51	545943/545943	---MCZ	200	added ('OK')	text/html	etag:W/%22fb8c05108bcd0b9396de5b544694e9e0%22	https://booqi.me/	./downloaded-site-booqi/booqi.me/index.html	(from )
09:33:52	546390/546390	---MCZ	200	added ('OK')	text/html	etag:W/%22fb8c05108bcd0b9396de5b544694e9e0%22	https://booqi.me/nl	./downloaded-site-booqi/booqi.me/nl.html	(from https://booqi.me/)
09:33:53	547720/547720	---MCZ	200	added ('OK')	text/html	etag:W/%22fb8c05108bcd0b9396de5b544694e9e0%22	https://booqi.me/fr	./downloaded-site-booqi/booqi.me/fr.html	(from https://booqi.me/)
09:33:54	547441/547441	---MCZ	200	added ('OK')	text/html	etag:W/%22fb8c05108bcd0b9396de5b544694e9e0%22	https://booqi.me/de	./downloaded-site-booqi/booqi.me/de.html	(from https://booqi.me/)
09:33:56	547267/547267	---MCZ	200	added ('OK')	text/html	etag:W/%22fb8c05108bcd0b9396de5b544694e9e0%22	https://booqi.me/es	./downloaded-site-booqi/booqi.me/es.html	(from https://booqi.me/)
09:33:56	369543/369543	---MCZ	200	added ('OK')	text/html	etag:W/%22a60951d0e17abe0ed83aa37d23ef06f9%22	https://booqi.me/features	./downloaded-site-booqi/booqi.me/features.html	(from https://booqi.me/)
09:33:57	346531/346531	---MCZ	200	added ('OK')	text/html	etag:W/%224ef2c8e4bb022a0dbff30e64636abe2d%22	https://booqi.me/theme-parks-and-recreational-facilities	./downloaded-site-booqi/booqi.me/theme-parks-and-recreational-facilities.html	(from https://booqi.me/)
09:33:58	345776/345776	---MCZ	200	added ('OK')	text/html	etag:W/%22e70d494f946c857407e0a9ad13e882ea%22	https://booqi.me/zoos	./downloaded-site-booqi/booqi.me/zoos.html	(from https://booqi.me/)
09:34:00	348878/348878	---MCZ	200	added ('OK')	text/html	etag:W/%222c86de1bfcc39742a15ca8b20e9e848c%22	https://booqi.me/museums	./downloaded-site-booqi/booqi.me/museums.html	(from https://booqi.me/)
09:34:00	346399/346399	---MCZ	200	added ('OK')	text/html	etag:W/%2212552eb2e336728b4559fbf66972a3be%22	https://booqi.me/swimming-pools	./downloaded-site-booqi/booqi.me/swimming-pools.html	(from https://booqi.me/)
09:34:01	249909/249909	---MCZ	200	added ('OK')	text/html	etag:W/%225265417b2faa35ef4e29a533bc0cd44f%22	https://booqi.me/create-account	./downloaded-site-booqi/booqi.me/create-account.html	(from https://booqi.me/)
09:34:03	407879/407879	---MCZ	200	added ('OK')	text/html	etag:W/%221c8430e62587b79de4862998ccd72c45%22	https://booqi.me/about-us	./downloaded-site-booqi/booqi.me/about-us.html	(from https://booqi.me/)
09:34:03	275236/275236	---MCZ	200	added ('OK')	text/html	etag:W/%22bf22a401434a11a6bc544a705aea942d%22	https://booqi.me/blog	./downloaded-site-booqi/booqi.me/blog.html	(from https://booqi.me/)
09:34:04	334280/334280	---MCZ	200	added ('OK')	text/html	etag:W/%22a4a59279f2654e4b29e5dd4b4fe214c8%22	https://booqi.me/terms-and-conditions	./downloaded-site-booqi/booqi.me/terms-and-conditions.html	(from https://booqi.me/)
09:34:05	298269/298269	---MCZ	200	added ('OK')	text/html	etag:W/%22b385811fad80d65a1c296b64c3bb3a46%22	https://booqi.me/industry	./downloaded-site-booqi/booqi.me/industry.html	(from https://booqi.me/)
09:34:06	261114/261114	---MCZ	200	added ('OK')	text/html	etag:W/%22f74484ba3b62ece0f189b5fbc2ae1ad7%22	https://booqi.me/contact	./downloaded-site-booqi/booqi.me/contact.html	(from https://booqi.me/)
09:34:07	251040/251040	---MCZ	200	added ('OK')	text/html	etag:W/%22f6ad168d2bfc1eea45c656d24a16fd90%22	https://booqi.me/book-demo	./downloaded-site-booqi/booqi.me/book-demo.html	(from https://booqi.me/)
